"time","poolid","voltage","current","power","mqtttopic","raw"
2025-08-20 19:01:35.000 +0200,Pool H32,234.0,0.05,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:01:35\"",\""Epoch\"":1755709295,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.306,\""Yesterday\"":3.494,\""Today\"":3.270,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":234,\""Current\"":0.050}}"""
2025-08-20 18:56:35.000 +0200,Pool H32,236.0,0.046,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:56:35\"",\""Epoch\"":1755708995,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.305,\""Yesterday\"":3.494,\""Today\"":3.270,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":11,\""ReactivePower\"":11,\""Factor\"":0.19,\""Voltage\"":236,\""Current\"":0.046}}"""
2025-08-20 18:51:35.000 +0200,Pool H32,237.0,0.061,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:51:35\"",\""Epoch\"":1755708695,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.305,\""Yesterday\"":3.494,\""Today\"":3.270,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":14,\""ReactivePower\"":14,\""Factor\"":0.15,\""Voltage\"":237,\""Current\"":0.061}}"""
2025-08-20 18:46:35.000 +0200,Pool H32,237.0,0.048,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:46:35\"",\""Epoch\"":1755708395,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.305,\""Yesterday\"":3.494,\""Today\"":3.269,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":11,\""ReactivePower\"":11,\""Factor\"":0.18,\""Voltage\"":237,\""Current\"":0.048}}"""
2025-08-20 18:41:35.000 +0200,Pool H32,236.0,0.059,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:41:35\"",\""Epoch\"":1755708095,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.305,\""Yesterday\"":3.494,\""Today\"":3.269,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":14,\""ReactivePower\"":14,\""Factor\"":0.16,\""Voltage\"":236,\""Current\"":0.059}}"""
2025-08-20 18:36:35.000 +0200,Pool H32,235.0,0.069,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:36:35\"",\""Epoch\"":1755707795,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.305,\""Yesterday\"":3.494,\""Today\"":3.269,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":16,\""ReactivePower\"":16,\""Factor\"":0.13,\""Voltage\"":235,\""Current\"":0.069}}"""
2025-08-20 18:31:35.000 +0200,Pool H32,232.0,0.061,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:31:35\"",\""Epoch\"":1755707495,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.304,\""Yesterday\"":3.494,\""Today\"":3.269,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":14,\""ReactivePower\"":14,\""Factor\"":0.15,\""Voltage\"":232,\""Current\"":0.061}}"""
2025-08-20 18:26:35.000 +0200,Pool H32,233.0,0.061,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:26:35\"",\""Epoch\"":1755707195,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.304,\""Yesterday\"":3.494,\""Today\"":3.269,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":14,\""ReactivePower\"":14,\""Factor\"":0.15,\""Voltage\"":233,\""Current\"":0.061}}"""
2025-08-20 18:21:35.000 +0200,Pool H32,233.0,0.053,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:21:35\"",\""Epoch\"":1755706895,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.304,\""Yesterday\"":3.494,\""Today\"":3.269,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":233,\""Current\"":0.053}}"""
2025-08-20 18:16:35.000 +0200,Pool H32,232.0,0.067,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:16:35\"",\""Epoch\"":1755706595,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.304,\""Yesterday\"":3.494,\""Today\"":3.268,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":16,\""ReactivePower\"":15,\""Factor\"":0.15,\""Voltage\"":232,\""Current\"":0.067}}"""
